City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,mezohegyes,46.3167,20.8167,40.82,72,2,8.5,HU
1,ust-abakan,53.8525,91.3742,22.91,63,0,11.18,RU
2,portage,41.1667,-81.1998,49.82,51,0,8.05,US
3,olinda,-8.0089,-34.8553,83.93,65,40,11.5,BR
4,kaitangata,-46.2817,169.8464,50.88,81,69,3.29,NZ
5,daitari,21.1,85.75,70.54,35,0,2.77,IN
6,san policarpo,12.1791,125.5072,76.66,85,47,10.45,PH
7,albany,42.6001,-73.9662,37.67,88,100,4.09,US
8,chuy,-33.6971,-53.4616,78.01,57,42,9.35,UY
9,olafsvik,64.8945,-23.7142,41.07,83,99,5.32,IS
10,paciran,-6.8767,112.3761,76.89,84,98,8.9,ID
11,petropavlovsk-kamchatskiy,53.0452,158.6483,-6.23,65,0,11.18,RU
12,busselton,-33.65,115.3333,61.5,71,64,9.57,AU
13,fairbanks,64.8378,-147.7164,-2.78,76,0,0.0,US
14,cedar city,37.6775,-113.0619,34.77,64,75,25.32,US
15,coquimbo,-29.9533,-71.3436,67.73,77,20,13.8,CL
16,turukhansk,65.8167,87.9833,-3.62,98,100,10.45,RU
17,saint-philippe,-21.3585,55.7679,76.59,88,100,5.12,RE
18,filadelfia,39.9523,-75.1638,51.78,55,75,19.57,US
19,tuktoyaktuk,69.4541,-133.0374,-31.0,68,0,6.91,CA
20,caravelas,-17.7125,-39.2481,80.65,67,45,7.56,BR
21,san luis,-33.295,-66.3356,94.19,19,17,7.16,AR
22,mitu,1.1983,-70.1733,83.3,80,97,2.44,CO
23,jamestown,42.097,-79.2353,35.55,93,100,14.97,US
24,port alfred,-33.5906,26.891,70.18,95,21,1.99,ZA
25,kodiak,57.79,-152.4072,29.71,40,0,9.22,US
26,port elizabeth,-33.918,25.5701,73.09,99,100,4.61,ZA
27,gumdag,39.2061,54.5906,53.17,68,100,15.59,TM
28,lebu,-37.6167,-73.65,61.84,61,0,18.07,CL
29,calvia,39.5657,2.5062,48.96,65,0,5.23,ES
30,tanete,-3.9443,119.7848,74.53,94,100,4.25,ID
31,kholodnyy,62.7167,147.95,-31.34,96,97,2.06,RU
32,hilo,19.7297,-155.09,75.11,86,75,4.61,US
33,port macquarie,-31.4333,152.9167,59.9,89,2,4.32,AU
34,vaini,-21.2,-175.2,82.56,89,75,6.91,TO
35,bethel,41.3712,-73.414,43.93,76,100,12.66,US
36,thompson,55.7435,-97.8558,19.56,68,100,8.05,CA
37,severo-kurilsk,50.6789,156.125,20.34,72,99,20.04,RU
38,rikitea,-23.1203,-134.9692,79.83,76,100,16.75,PF
39,castro,-24.7911,-50.0119,71.55,89,56,7.29,BR
40,halifax,44.6453,-63.5724,29.68,68,100,4.61,CA
41,faanui,-16.4833,-151.75,81.77,73,100,10.51,PF
42,summerland,49.5998,-119.6691,38.55,69,100,6.91,CA
43,darhan,49.4867,105.9228,23.65,92,78,2.06,MN
44,bandarbeyla,9.4942,50.8122,77.04,76,0,14.61,SO
45,zhigansk,66.7697,123.3711,0.97,97,100,15.01,RU
46,loiza,18.4313,-65.8802,86.38,72,40,19.57,PR
47,yellowknife,62.456,-114.3525,-12.48,64,75,11.5,CA
